,place,magnitude,time
0,"10km SSW of Idyllwild, CA",1.29,Fri Aug 17 06:00:20 45973
1,"117km NW of Talkeetna, Alaska",1.1,Tue Aug 14 08:41:41 45973
2,"6km SSW of Big Lake, Alaska",1.2,Mon Aug 13 07:41:16 45973
3,"63km NW of Talkeetna, Alaska",1.4,Sat Aug 11 02:07:03 45973
4,"27km WNW of Coquimbo, Chile",4.0,Fri Aug 10 18:10:00 45973
5,"4km NW of The Geysers, California",0.53,Thu Aug  9 16:53:40 45973
6,"6km E of Mammoth Lakes, California",0.7,Tue Aug  7 20:24:30 45973
7,"11km ESE of Anza, CA",0.47,Mon Aug  6 21:44:50 45973
8,Nevada,0.6,Fri Aug  3 22:48:43 45973
9,South of the Fiji Islands,4.2,Fri Aug  3 20:12:10 45973
10,"74km SW of Unalaska, Alaska",1.8,Sun Jul 29 23:49:58 45973
11,"269km S of Amahusu, Indonesia",4.2,Sun Jul 29 05:51:30 45973
12,"12km E of Victoria, Canada",0.64,Tue Jul 24 23:15:50 45973
13,Nevada,0.3,Tue Jul 24 06:53:28 45973
14,"4km SW of Guaynabo, Puerto Rico",2.7,Thu Jul 19 11:06:40 45973
15,"10km SW of Niland, CA",0.3,Wed Jul 18 04:42:40 45973
16,"18km ESE of Playa Vicente, Mexico",4.0,Mon Jul 16 01:53:20 45973
17,"53km NNW of Pahrump, Nevada",0.3,Sun Jul 15 13:18:35 45973
18,"12km SE of Mammoth Lakes, California",0.35,Tue Jul 10 05:10:20 45973
19,"13km W of Alberto Oviedo Mota, B.C., MX",1.88,Fri Jul  6 00:17:30 45973
20,"1km ESE of The Geysers, CA",1.24,Sun Jul  1 11:21:40 45973
21,"2km ESE of Bishop, California",0.68,Thu Jun 28 15:58:40 45973
22,Northern California,0.52,Mon Jun 25 15:19:10 45973
23,"6km NW of The Geysers, California",1.05,Mon Jun 25 11:22:00 45973
24,"36km WNW of Sola, Vanuatu",4.6,Sun Jun 24 06:14:20 45973
25,Nevada,0.8,Sun Jun 24 00:01:48 45973
26,"27km NNW of Packwood, Washington",-0.33,Wed Jun 20 01:09:30 45973
27,"5km SW of Idyllwild, CA",0.53,Sun Jun 17 01:25:40 45973
28,"24km N of Dixon Lane-Meadow Creek, California",2.51,Fri Jun 15 01:16:10 45973
29,"4km NW of The Geysers, California",0.54,Tue Jun 12 20:21:50 45973
30,Nevada,0.4,Tue Jun 12 16:20:42 45973
31,"5km WNW of The Geysers, California",1.42,Mon Jun 11 10:39:40 45973
32,"20km ESE of Anza, CA",0.45,Mon Jun 11 01:44:50 45973
33,"6km E of Mammoth Lakes, California",0.67,Thu Jun  7 23:49:30 45973
34,"6km E of Mammoth Lakes, California",0.34,Thu Jun  7 16:28:10 45973
35,"7km ESE of Mammoth Lakes, California",0.13,Tue Jun  5 19:07:40 45973
36,Southern Mid-Atlantic Ridge,4.4,Mon Jun  4 06:22:20 45973
37,"32km WNW of Valdez, Alaska",1.8,Mon Jun  4 04:28:56 45973
38,"6km E of Mammoth Lakes, California",0.6,Sun Jun  3 14:23:10 45973
39,"57km ESE of Whittier, Alaska",1.9,Thu May 31 08:15:26 45973
40,Northern California,0.57,Wed May 30 12:23:50 45973
41,"7km NW of The Geysers, California",0.46,Sun May 27 23:08:00 45973
42,"82km SW of Unalaska, Alaska",2.4,Wed May 23 12:39:02 45973
43,"7km NW of The Geysers, California",1.3,Thu May 17 09:07:30 45973
44,Nevada,0.0,Wed May 16 20:49:40 45973
45,"1km ENE of Badger, Alaska",0.5,Tue May 15 08:43:57 45973
46,"216km NW of Saumlaki, Indonesia",4.0,Sun May 13 11:13:40 45973
47,"6km NW of The Geysers, California",0.59,Fri May 11 08:28:10 45973
48,"10km NE of Indio, CA",1.0,Tue May  8 17:49:10 45973
49,"69km ENE of Amahai, Indonesia",4.7,Tue May  8 00:18:40 45973
50,"11km SSE of Chester, California",1.4,Mon Apr 30 08:01:30 45973
51,Nevada,1.0,Sun Apr 29 21:29:41 45973
52,"180km SSE of Sinabang, Indonesia",4.5,Sat Apr 28 02:36:50 45973
53,"11km W of Alberto Oviedo Mota, B.C., MX",1.98,Fri Apr 27 22:20:30 45973
54,"12km ENE of Coso Junction, CA",0.08,Tue Apr 17 06:47:30 45973
55,Nevada,1.6,Mon Apr 16 23:06:27 45973
56,"72km W of Cantwell, Alaska",1.9,Fri Apr 13 09:39:52 45973
57,"72km E of Bear Creek, Alaska",1.9,Mon Apr  2 13:02:38 45973
58,"3km W of Cobb, California",0.87,Thu Mar 29 08:53:10 45973
59,Northern California,0.52,Wed Mar 28 23:26:30 45973
60,"1km WSW of Wauna, Washington",0.71,Wed Mar 14 15:19:30 45973
