,Bäckerei,URL,Gemeinde,Kanton
0,"Bäckerei ""gsund"" AG",https://sz.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-240.641.011&lang=de,Feusisberg,SZ - Schwyz
1,Bäckerei & Catering M Janicijevic,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-114.960.579&lang=de,Zürich,ZH - Zürich
2,"Bäckerei & Konditorei, Biner & Co.",https://vo.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-102.073.772&lang=de,Zermatt,VS - Brig (Oberwallis)
3,Bäckerei + Party-Service Sandra Bircher,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-115.910.495&lang=de,Wölflinswil,AG - Aargau
4,Bäckerei - Konditorei - Café Gut,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.034.070&lang=de,Willisau,LU - Luzern
5,Bäckerei - Konditorei - Lebensmittel Leuenberger,https://so.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.195.164&lang=de,Erlinsbach (SO),SO - Solothurn
6,Bäckerei - Konditorei - Lebensmittel Oester,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.306.718&lang=de,Adelboden,BE - Bern
7,"Bäckerei - Konditorei Adula, Georg Schmid und Josefin Burri",https://gr.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-438.593.065&lang=de,Tujetsch,GR - Graubünden
8,Bäckerei - Konditorei D. Pfister,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-116.198.463&lang=de,Uetendorf,BE - Bern
9,Bäckerei - Konditorei Eichenberger AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-313.666.724&lang=de,Langnau im Emmental,BE - Bern
10,BÄCKEREI - KONDITOREI FÄSSLER,https://ai.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-115.132.898&lang=de,Rüte,AI - Appenzell I. Rh.
11,"Bäckerei - Konditorei Furter, Nachfolger Mario Monaco-Oesch",https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.386.806&lang=de,Aarau,AG - Aargau
12,Bäckerei - Konditorei Gübeli,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-114.920.189&lang=de,St. Stephan,BE - Bern
13,Bäckerei - Konditorei Hermann,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.066.035&lang=de,Muhen,AG - Aargau
14,Bäckerei - Konditorei Jean-Pierre Grindat,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-106.154.151&lang=de,Orpund,BE - Bern
