,url,text,stand,zuständig,geschäftsart,status
0,/gast/geschaefte/1998,"Postulat von Ivo Egger, Stéphanie Vuichard, Hanni Schriber-Neiger und Andreas Lustenberger betreffend eines klimaneutralen, kantonalen Gebäudeparks des Kantons Zug",Einreichung,Baudirektion,Postulat,hängig
1,/gast/geschaefte/1997,"Postulat von Stéphanie Vuichard, Mariann Hess und Rita Hofer betreffend Biodiversitätsförderung",Einreichung,Baudirektion,Postulat,hängig
2,/gast/geschaefte/1996,"Motion von Rainer Leemann und Michael Arnold betreffend Standesinitiative: Gleiches Recht für jede Mutter und nicht nur für Politikerinnen
",Einreichung,Gesundheitsdirektion,Motion,hängig
3,/gast/geschaefte/1995,Interpellation der SP-Fraktion betreffend Pestizide und Nitrat im Zuger Trinkwasser,Einreichung,Baudirektion,Interpellation,hängig
4,/gast/geschaefte/1994,"Interpellation von Pirmin Andermatt und Heini Schmid betreffend Nutzung des historisch tiefen Zinsumfeldes und der guten Bonität des Kantons Zug zu Gunsten der Zuger Bevölkerung
",Einreichung,Finanzdirektion,Interpellation,hängig
5,/gast/geschaefte/1993,Kantonsrats-Ersatzwahl in der Einwohnergemeinde Zug,Traktandiert,Staatskanzlei,Wahlen,hängig
6,/gast/geschaefte/1992,"Motion der CVP-Fraktion betreffend bedarfsgerechte Einführung von Tagesschulen
",Einreichung,Direktion für Bildung und Kultur,Motion,hängig
7,/gast/geschaefte/1991,"Postulat von Manuela Leemann, Benny Elsener und Richard Rüegg betreffend stufenlose Unterführung Brüggli 
",Überweisung an Regierungsrat,Baudirektion,Postulat,hängig
8,/gast/geschaefte/1990,"Interpellation von Hans Baumgartner, Manuela Käch, Jean Luc Mösch, Brigitte Wenzin Widmer, Rainer Suter, Thomas Gander, Drin Alaj, Petra Muheim Quick und Claus Soltermann betreffend Vorhaben Richtplanfestsetzung Kiesabbau Hatwil-Hubletzen, Gemeinde Cham
",Überweisung an Regierungsrat,Baudirektion,Interpellation,hängig
9,/gast/geschaefte/1989,Kantonsrats-Ersatzwahl in der Einwohnergemeinde Hünenberg,Wahl: Feststellung Gültigkeit,Staatskanzlei,Wahlen,abgeschlossen
10,/gast/geschaefte/1988,"Interpellation von Pirmin Andermatt, Zari Dzaferi und Urs Andermatt betreffend 5G
",Überweisung an Regierungsrat,Baudirektion,Interpellation,hängig
11,/gast/geschaefte/1987,Motion der FDP-Fraktion betreffend mehr Kompetenz und Flexibilität an die Gemeinden im Führen der Oberstufe nach deren Bedürfnissen,Überweisung an Regierungsrat,Direktion für Bildung und Kultur,Motion,hängig
12,/gast/geschaefte/1986,Kantonsratsbeschluss betreffend Kenntnisnahme vom mehrjährigen Leistungsauftrag 2020–2023 für die Fachhochschule Zentralschweiz (Hochschule Luzern),Kommission bestellt,Volkswirtschaftsdirektion,Kantonsratsbeschluss (nicht referendumsfähig),hängig
13,/gast/geschaefte/1985,Kleine Anfrage von Andreas Lustenberger betreffend Unterkünfte für asylsuchende Menschen,Antwort des Regierungsrats,Direktion des Innern,Kleine Anfrage,abgeschlossen
14,/gast/geschaefte/1984,Kantonsratsbeschluss betreffend Beitritt zum Gesamtschweizerischen Geldspielkonkordat (GSK) und Beitritt zur Interkantonalen Vereinbarung betreffend die gemeinsame Durchführung von Geldspielen (IKV 2020),Kommission bestellt,Sicherheitsdirektion,Konkordat,hängig
15,/gast/geschaefte/1983,Interpellation der CVP-Fraktion betreffend Aushub - Deponien im Kanton Zug,Überweisung an Regierungsrat,Baudirektion,Interpellation,hängig
16,/gast/geschaefte/1982,Interpellation der FDP-Fraktion betreffend kantonaler Arbeitsplatz im 21. Jahrhundert,Überweisung an Regierungsrat,Finanzdirektion,Interpellation,hängig
17,/gast/geschaefte/1981,Motion von Anna Bieri und Barbara Häseli betreffend Standesinitiative betreffend politisches Mandat auch bei Mutterschaft,Erheblicherklärung,Gesundheitsdirektion,Motion,hängig
18,/gast/geschaefte/1979,"Postulat der SP-Fraktion und der Fraktion Alternative - die Grünen betreffend 150 Millionen Franken Überschuss, unnötige Sparmassnahmen rückgängig machen",Nichtüberweisung,Finanzdirektion,Postulat,abgeschlossen
19,/gast/geschaefte/1980,"Kantonsratsbeschluss betreffend Anpassung des kantonalen Richtplans (L 11 Gebiete für Erholung und Sport; V 2 Nationalstrassen; V 3 Kantonsstrassen; V 6 Busverkehr/Feinverteiler, u. a. auf Eigentrassee; V 9 Radverkehr; V 10 Kantonales Wanderwegnetz; V 12 Prioritäten bei den Verkehrsvorhaben; E 15 Energie) ",Kommission bestellt,Baudirektion,Kantonsratsbeschluss (nicht referendumsfähig),hängig
20,/gast/geschaefte/1978,"Postulat von Fabio Iten und Patrick Iten betreffend Massnahmen für einen optimalen Verkehrsfluss während der Sanierung der Lorzental-Kantonsstrasse
",Überweisung an Regierungsrat,Baudirektion,Postulat,hängig
21,/gast/geschaefte/1977,Interpellation von Ivo Egger und Zari Dzaferi betreffend Förderung des Veloverkehrs für Arbeits- und Schulweg,Überweisung an Regierungsrat,Baudirektion,Interpellation,hängig
22,/gast/geschaefte/1976,Petition «Forderungen der Pflegefachfrauen der Spitalexternen Pflege des Kantons Zug»,Überweisung an Kommission,Justizprüfungskommission,Petition,hängig
23,/gast/geschaefte/1975,Petition «Frauen*streik Manifest»,Überweisung an Kommission,Justizprüfungskommission,Petition,hängig
24,/gast/geschaefte/1974,"Geschäftsbericht 2018 der Kindes- und Erwachsenenschutzbehörde (KESB)
",,Justizprüfungskommission,Verschiedenes,abgeschlossen
25,/gast/geschaefte/1973,Änderung des Datenschutzgesetzes,Kommission bestellt,Sicherheitsdirektion,Gesetz,hängig
26,/gast/geschaefte/1972,Kleine Anfrage von Rita Hofer betreffend Umsetzung Lehrplan 21 an den Kantonsschulen Zug und Menzingen ,Antwort des Regierungsrats,Direktion für Bildung und Kultur,Kleine Anfrage,abgeschlossen
27,/gast/geschaefte/1971,"Kleine Anfrage der SP-Fraktion betreffend Kampagne «Alter hat Potenzial» 
",Antwort des Regierungsrats,Finanzdirektion,Kleine Anfrage,abgeschlossen
28,/gast/geschaefte/1970,Interpellation von Daniel Stadlin betreffend Nutzung der Windenergie,Überweisung an Regierungsrat,Baudirektion,Interpellation,hängig
29,/gast/geschaefte/1969,Änderung des Einführungsgesetzes zu den Bundesgesetzen über die Berufsbildung und Fachhochschulen (EG Berufsbildung) betreffend Führung einer Höheren Fachschule für Informatik und Elektronik am GIBZ,Kommission bestellt,Volkswirtschaftsdirektion,Gesetz,hängig
30,/gast/geschaefte/1968,"Interpellation von Stéphanie Vuichard, Marianne Hess und Andreas Lustenberger betreffend Anstrengungen des Kantons zur Vermeidung von schädlicher und lästiger Lichteinwirkung",Überweisung an Regierungsrat,Baudirektion,Interpellation,hängig
